0/t1/t0.75,0.5,0.83,0.39,0.13,0.77,0.86,0.7,0.4,0.87,0.53,0.18,0.22,0.29,0.19,0.36,0.07,0.72,0.66,0.11 A
0/t2/t0.75,0.5,0.83,0.39,0.13,0.77,0.86,0.7,0.4,0.87,0.53,0.18,0.22,0.29,0.19,0.36,0.07,0.72,0.66,0.11 A
0/t3/t0.66,0.68,0.59,0.31,0.44,0.0,0.1,0.26,0.99,0.2,0.8,0.57,0.37,0.61,0.6,0.57,0.45,0.23,0.2,0.34 B
0/t4/t0.66,0.68,0.59,0.31,0.44,0.0,0.1,0.26,0.99,0.2,0.8,0.57,0.37,0.61,0.6,0.57,0.45,0.23,0.2,0.34 B
0/t5/t0.66,0.68,0.59,0.31,0.44,0.0,0.1,0.26,0.99,0.2,0.8,0.57,0.37,0.61,0.6,0.57,0.45,0.23,0.2,0.34 B
0/t6/t0.66,0.68,0.59,0.31,0.44,0.0,0.1,0.26,0.99,0.2,0.8,0.57,0.37,0.61,0.6,0.57,0.45,0.23,0.2,0.34 B
0/t7/t0.66,0.68,0.59,0.31,0.44,0.0,0.1,0.26,0.99,0.2,0.8,0.57,0.37,0.61,0.6,0.57,0.45,0.23,0.2,0.34 B
0/t8/t0.66,0.68,0.59,0.31,0.44,0.0,0.1,0.26,0.99,0.2,0.8,0.57,0.37,0.61,0.6,0.57,0.45,0.23,0.2,0.34 B
0/t9/t0.66,0.68,0.59,0.31,0.44,0.0,0.1,0.26,0.99,0.2,0.8,0.57,0.37,0.61,0.6,0.57,0.45,0.23,0.2,0.34 B
0/t10/t0.66,0.68,0.59,0.31,0.44,0.0,0.1,0.26,0.99,0.2,0.8,0.57,0.37,0.61,0.6,0.57,0.45,0.23,0.2,0.34 B
0/t7/t0.66,0.68,0.59,0.31,0.44,0.0,0.1,0.26,0.99,0.2,0.8,0.57,0.37,0.61,0.6,0.57,0.45,0.23,0.2,0.34 B
1/t11/t0.88,0.78,0.07,0.02,0.08,0.07,0.21,0.65,0.25,0.41,0.43,0.7,0.69,0.09,0.18,0.0,0.23,0.5,0.71,0.96 C
1/t12/t0.65,0.84,0.8,0.82,0.01,0.44,0.28,0.65,0.36,0.85,0.71,0.87,0.1,0.51,0.43,0.15,0.28,0.76,0.24,0.64
